"Id","Label"
"100081485","walegates"
"100180009","chantlewhite"
"100252929","__N5uaha"
"100526675","Valnyla"
"100721448","tallolisa"
"10092762","dfasoro"
"101326687","girlish_lava"
"101386279","lereboy"
"101476381","MsNemah"
"101915739","yemioyetade"
"102376418","KokoletteRay"
"102422178","TheSanmi"
"103075556","theolugirl"
"103400049","batarhe"
"103890274","iambigbrains"
"104182466","debbified"
"104296908","BashirAhmaad"
"104628087","lopez336"
"104990168","deehumorous"
"105905066","savenigeria"
"106078139","thorpsyhenry"
"106190555","iamdejinero"
"106349625","Don_Dinozzo"
"106633149","mzboma1"
"107254970","Roteame"
"107438607","Prof_Fiammari"
"107755674","africatechie"
"107908234","RexxUberfresh"
"108505438","rhm1947"
"108740292","CNNMex"
"109153368","ofureighalo"
"109509310","don_kazzy"
"109842130","aro_weird"
"110013216","popedahitman"
"110670195","eknoreda"
"110823690","laylow_1"
"111104818","rolakejolayemi"
"111521604","omotolafunmi"
"111820217","ObinnaBoss"
"112490762","Femme_Fatale018"
"11252962","ashong"
"112661511","tysalihu"
"112681498","bob_alash"
"113350470","silviaclassique"
"1140451","AntDeRosa"
"114588976","joSWANK"
"114833676","missbukoko"
"114997892","doraayobami"
"115628224","omojuwa"
"115683157","Tomi_Ola"
"116406743","nubiandiva12"
"116427791","jermainejosh"
"116763916","JeffDSachs"
"11680312","kenyanpundit"
"117173523","justlikethat59"
"118027745","Chinelonma"
"118131488","millerbaba"
"11840692","donsege"
"119714092","Storyful"
"121177164","Shongii"
"121866524","DeolaSmalls"
"122060640","bawsladie"
"122906950","busy_brain"
"123392665","JoiceIzeIyamu"
"123432292","Aida_Verdi"
"123497930","Nochiez"
"123545907","KwamiAdadevoh"
"123877665","destan01"
"124068805","ToluLee"
"124441723","adexcharo"
"125346858","Channels_TV"
"125374238","missegunjobi"
"125469208","changeRights"
"125578075","nature_gurl"
"125818381","krimmedic"
"125943744","tosin723"
"126773950","jojoophina"
"126914522","glitterrz"
"127948226","Jesse_Boxx"
"128022083","EiENigeria"
"128078043","kingphyky"
"128690548","AfrolisushEkiba"
"129004407","kel3000"
"129569778","Itsyoungpizzy"
"129762570","ZoeBeliever"
"129892090","feyiogundipe"
"130826667","HUGOverified"
"130873956","fumiswift"
"131066462","DejiDara"
"131280081","calidboss"
"131446046","hardrold"
"131646910","Ayshahkt"
"131784466","beeba101"
"131966904","sweet1pums"
"13197972","kanny"
"132159087","chichannie"
"132463310","naijama"
"132860665","kendoug5"
"133227022","iamramat"
"133308232","fullm3t4l_raven"
"133761060","Creamyma"
"133878699","GboyeAkinz"
"134052986","simply_simih"
"134205755","jadecarter01"
"13451922","JustAmira"
"134894776","folushor"
"135063776","ndee7"
"135126837","RCCGworldwide"
"135448028","JamesNduOld"
"135820971","tizziefbaby"
"136369994","PSmmith"
"136945273","halibabes86"
"137181942","obierus"
"138111432","delvve"
"138181620","Ms_frisky"
"138188673","baybbootz"
"138314849","iamroymorah"
"138962868","Oredols"
"139389454","Pinkylacuttie"
"140293931","Sucreciouz"
"140340543","banjo_sugarcane"
"140378119","iamaso"
"140882738","bourgybabe"
"140889339","oamanchukwu"
"141374012","wemzhassan"
"141887287","aanghova"
"141911850","eggie_no1"
"14215523","brusselmans"
"142752630","BadBoyTox"
"142997487","9ja_schoolboi"
"143158337","toki81281"
"143720803","ololobi"
"14372614","hsofia"
"144607507","valeriekester"
"144634771","bamskeke"
"145210404","willyswi"
"145327360","buttarkup"
"145387065","folslims"
"14619572","ged"
"146634585","Nonnie_Medlin"
"146767385","Libra_King"
"147119084","LANRE_V"
"14738191","verastic"
"147465942","lilmissbeebee"
"147484369","adnanpoppop"
"14752085","allisonkilkenny"
"148100324","Raider_Dowe"
"148189843","Gidjz"
"148712147","yawazobiafm"
"14911067","SheriphSkills"
"14927297","Adbusters"
"149294948","gennievieve"
"14939981","questlove"
"149408974","gidi_boi"
"149479775","crtvonline"
"150623003","makingcheddah"
"150957150","jatutu022"
"151157552","Uncle_LanreMax"
"151226041","tolarboss"
"151426651","deeeeelicious"
"151451475","Kid0nthem00n"
"151519440","CelebrityCEO"
"151880685","codedcodes"
"151963462","stayhigh2087"
"152582860","aywizzie"
"152777178","teehatty"
"15344688","sturvs"
"153803844","FisayoOludare"
"154123844","RIPfaceboook"
"15460027","fahadaliyu"
"154630645","BATTLETIDE"
"154632849","Tyaliciia"
"154851680","shnkss"
"154972156","Ms_BeeBeeZ"
"155211269","cuteoyin"
"155325791","AfricanNewsbot"
"155489093","karen_BLINGS"
"155537412","teetooraj"
"155943058","kayjayevent"
"157047622","PhantomBeta"
"157260477","mryousuph"
"157598163","ballerge"
"157738196","bellohamzaa"
"157988402","moneybaron"
"158067063","GinaFatale"
"158140991","taontee"
"15819466","bellanaija"
"158664000","Lagoshunter"
"158666428","berrysparks"
"158697729","qweezard"
"15871868","bigbrovar"
"158767551","MS_M_MONROE"
"159099501","iMusicpromo"
"15946795","exschoolnerd"
"159849348","griverorz"
"160169779","gbosquared"
"160221994","prettybembo"
