"Id","Source","Target"
"0","125943744","378809160"
"1","125943744","281909728"
"2","125943744","378809160"
"3","16429861","24955570"
"4","212494307","23377569"
"5","68257432","46932649"
"6","68257432","35864523"
"7","395199353","110558385"
"8","217046870","57887546"
"9","18921341","47326857"
"10","35187957","38797799"
"11","35187957","296151268"
"12","67684111","6273552"
"13","31557157","91316071"
"14","257546302","330995799"
"15","257546302","257546302"
"16","203017516","124971652"
"17","130826667","50460956"
"18","130826667","61378616"
"19","34288864","173620667"
"20","257276298","87011873"
"21","257276298","257276298"
"22","57145236","115628224"
"23","57145236","48463421"
"24","79237207","0"
"25","820694","55805872"
"26","820694","57778949"
"27","87011873","86685798"
"28","175757877","1"
"29","147119084","74408066"
"30","230119308","2"
"31","230119308","106190555"
"32","47323938","58825393"
"33","84303435","258720892"
"34","86685798","87011873"
"35","133761060","70892086"
"36","133761060","133761060"
"37","366803468","3"
"38","23981684","4"
"39","115683157","78900930"
"40","101386279","124971652"
"41","1658687670","91316071"
"42","191284758","5"
"43","14939981","92148954"
"44","26815053","6"
"45","26815053","26815053"
"46","7","66961695"
"47","7","67754259"
"48","155537412","171127591"
"49","328667119","84114263"
"50","328667119","36609592"
"51","217046870","89002948"
"52","217046870","84680033"
"53","177202984","304901205"
"54","51112806","173620667"
"55","51112806","8"
"56","107254970","115628224"
"57","59085798","68129457"
"58","191962314","82494158"
"59","63471715","166308097"
"60","63471715","237075130"
"61","63471715","63471715"
"62","138111432","325530386"
"63","138111432","138111432"
"64","138111432","34288864"
"65","74408066","9"
"66","74408066","74408066"
"67","60366604","353922284"
"68","60366604","115628224"
"69","60366604","16558440"
"70","6718782","10"
"71","6718782","11"
"72","6718782","192498474"
"73","6718782","7934562"
"74","6718782","24955570"
"75","6718782","17409452"
"76","6718782","16517337"
"77","6718782","23584333"
"78","145327360","124971652"
"79","163881298","12"
"80","163881298","634225242"
"81","163881298","163881298"
"82","77788610","113014393"
"83","118027745","173620667"
"84","188485046","13"
"85","206116022","235656334"
"86","101386279","53631104"
"87","101386279","115683157"
"88","108505438","70629672"
"89","108505438","335369838"
"90","72391662","1575840926"
"91","72391662","72391662"
"92","49553725","25868966"
"93","32660559","22086481"
"94","32660559","32660559"
"95","133878699","152582860"
"96","133878699","35083717"
"97","58766084","182271827"
"98","176761392","14"
"99","254832595","440478569"
"100","23137747","128022083"
"101","820694","308299279"
"102","19610196","103863745"
"103","55896553","240637956"
"104","55896553","14857525"
"105","52471224","15"
"106","167779628","16"
"107","167779628","381450823"
"108","52797863","52797863"
"109","39246632","242448452"
"110","32660559","134191089"
"111","32660559","32660559"
"112","128078043","124971652"
"113","217046870","70629672"
"114","76372234","17"
"115","76372234","18"
"116","79286360","86685798"
"117","243100541","24843596"
"118","30950587","19"
"119","30950587","30950587"
"120","151963462","378809160"
"121","211676047","124971652"
"122","211676047","115628224"
"123","211676047","22059388"
"124","48621354","20"
"125","48621354","82506582"
"126","31804412","21"
"127","31804412","31804412"
"128","133761060","110479986"
"129","133761060","133761060"
"130","23137747","22"
"131","364807195","61115629"
"132","23137747","21324951"
"133","41077287","259891242"
"134","41077287","23"
"135","304312040","151090359"
"136","304312040","45224548"
"137","304312040","224276433"
"138","14911067","115628224"
"139","151426651","124971652"
"140","38276936","44354695"
"141","46676310","155516708"
"142","53379253","214815667"
"143","235421014","27238491"
"144","22775900","24"
"145","222471144","1472069413"
"146","81333681","124971652"
"147","19468168","173429742"
"148","234924124","102075889"
"149","53079119","102075889"
"150","21870087","111659634"
"151","84680033","84680033"
"152","84680033","115628224"
"153","152582860","35083717"
"154","16429861","183403584"
"155","23137747","188443744"
"156","43757214","179456886"
"157","61831375","269850534"
"158","61831375","61831375"
"159","61831375","420411751"
"160","115628224","48463421"
"161","240295983","25"
"162","240295983","102075889"
"163","47323938","23377569"
"164","84825305","263659236"
"165","80791048","6"
"166","175757877","175757877"
"167","175757877","1"
"168","97436688","18511475"
"169","51666386","415049986"
"170","31808336","115628224"
"171","42288041","32885088"
"172","80895799","48203064"
"173","80895799","1457048952"
"174","19468168","34288864"
"175","34672963","372755940"
